DateTime,Energy Produced (Wh)
8/16/2017 0:00,23395
8/17/2017 0:00,14996
8/18/2017 0:00,29872
8/19/2017 0:00,24093
8/20/2017 0:00,27481
8/21/2017 0:00,21458
8/22/2017 0:00,15113
8/23/2017 0:00,28666
8/24/2017 0:00,27408
8/25/2017 0:00,28745
8/26/2017 0:00,32263
8/27/2017 0:00,29498
8/28/2017 0:00,13846
8/29/2017 0:00,19752
8/30/2017 0:00,20179
8/31/2017 0:00,19490
9/1/2017 0:00,6509
9/2/2017 0:00,6116
9/3/2017 0:00,28044
9/4/2017 0:00,23058
9/5/2017 0:00,20711
9/6/2017 0:00,23303
9/7/2017 0:00,23351
9/8/2017 0:00,16895
9/9/2017 0:00,32577
9/10/2017 0:00,29740
9/11/2017 0:00,24643
9/12/2017 0:00,13538
9/13/2017 0:00,8741
9/14/2017 0:00,11813
9/15/2017 0:00,26046
9/16/2017 0:00,25868
9/17/2017 0:00,27385
9/18/2017 0:00,15194
9/19/2017 0:00,11397
9/20/2017 0:00,20930
9/21/2017 0:00,26493
9/22/2017 0:00,26311
9/23/2017 0:00,28809
9/24/2017 0:00,28479
9/25/2017 0:00,26331
9/26/2017 0:00,27359
9/27/2017 0:00,23044
9/28/2017 0:00,30321
9/29/2017 0:00,19355
9/30/2017 0:00,27749
10/1/2017 0:00,28567
10/2/2017 0:00,29520
10/3/2017 0:00,28674
10/4/2017 0:00,19015
10/5/2017 0:00,2724
10/6/2017 0:00,8283
10/7/2017 0:00,19506
10/8/2017 0:00,9856
10/9/2017 0:00,6973
10/10/2017 0:00,15048
10/11/2017 0:00,16756
10/12/2017 0:00,5093
10/13/2017 0:00,19554
10/14/2017 0:00,22173
10/15/2017 0:00,7951
10/16/2017 0:00,21111
10/17/2017 0:00,29015
10/18/2017 0:00,28775
10/19/2017 0:00,27162
10/20/2017 0:00,26828
10/21/2017 0:00,19457
10/22/2017 0:00,24310
10/23/2017 0:00,3438
10/24/2017 0:00,11850
10/25/2017 0:00,10527
10/26/2017 0:00,26238
10/27/2017 0:00,20427
10/28/2017 0:00,4208
10/29/2017 0:00,5229
10/30/2017 0:00,2502
10/31/2017 0:00,9096
11/1/2017 0:00,1849
11/2/2017 0:00,6561
11/3/2017 0:00,7405
11/4/2017 0:00,9400
11/5/2017 0:00,2095
11/6/2017 0:00,4983
11/7/2017 0:00,5965
11/8/2017 0:00,24681
11/9/2017 0:00,25182
11/10/2017 0:00,22676
11/11/2017 0:00,16394
11/12/2017 0:00,9590
11/13/2017 0:00,3602
11/14/2017 0:00,22703
11/15/2017 0:00,2475
11/16/2017 0:00,2913
11/17/2017 0:00,18060
11/18/2017 0:00,666
11/19/2017 0:00,4150
11/20/2017 0:00,23509
11/21/2017 0:00,16732
11/22/2017 0:00,6427
11/23/2017 0:00,15560
11/24/2017 0:00,22992
11/25/2017 0:00,18503
11/26/2017 0:00,21482
11/27/2017 0:00,18034
11/28/2017 0:00,22225
11/29/2017 0:00,22144
11/30/2017 0:00,2225
12/1/2017 0:00,21687
12/2/2017 0:00,16721
12/3/2017 0:00,20617
12/4/2017 0:00,12337
12/5/2017 0:00,4165
12/6/2017 0:00,17804
12/7/2017 0:00,6893
12/8/2017 0:00,18817
12/9/2017 0:00,4302
12/10/2017 0:00,2222
12/11/2017 0:00,7794
12/12/2017 0:00,15366
12/13/2017 0:00,1285
12/14/2017 0:00,9022
12/15/2017 0:00,4958
12/16/2017 0:00,19025
12/17/2017 0:00,2454
12/18/2017 0:00,1311
12/19/2017 0:00,11591
12/20/2017 0:00,19890
12/21/2017 0:00,17842
12/22/2017 0:00,1078
12/23/2017 0:00,1578
12/24/2017 0:00,4322
12/25/2017 0:00,20892
12/26/2017 0:00,7488
12/27/2017 0:00,17255
12/28/2017 0:00,9136
12/29/2017 0:00,6780
12/30/2017 0:00,300
12/31/2017 0:00,944
1/1/2018 0:00,1787
1/2/2018 0:00,2163
1/3/2018 0:00,1626
1/4/2018 0:00,2015
1/5/2018 0:00,1179
1/6/2018 0:00,2616
1/7/2018 0:00,1399
1/8/2018 0:00,549
1/9/2018 0:00,6585
1/10/2018 0:00,8283
1/11/2018 0:00,3117
1/12/2018 0:00,1485
1/13/2018 0:00,243
1/14/2018 0:00,660
1/15/2018 0:00,83
1/16/2018 0:00,276
1/17/2018 0:00,303
1/18/2018 0:00,546
1/19/2018 0:00,1683
1/20/2018 0:00,13104
1/21/2018 0:00,3507
1/22/2018 0:00,6630
1/23/2018 0:00,3744
1/24/2018 0:00,2101
1/25/2018 0:00,22130
1/26/2018 0:00,25101
1/27/2018 0:00,1108
1/28/2018 0:00,20435
1/29/2018 0:00,5472
1/30/2018 0:00,18870
1/31/2018 0:00,16868
2/1/2018 0:00,4564
2/2/2018 0:00,12628
2/3/2018 0:00,8875
2/4/2018 0:00,1503
2/5/2018 0:00,2959
2/6/2018 0:00,4778
2/7/2018 0:00,101
2/8/2018 0:00,304
2/9/2018 0:00,633
2/10/2018 0:00,2443
2/11/2018 0:00,2544
2/12/2018 0:00,28227
2/13/2018 0:00,19726
2/14/2018 0:00,2687
2/15/2018 0:00,3229
2/16/2018 0:00,3228
2/17/2018 0:00,3404
2/18/2018 0:00,20769
2/19/2018 0:00,4653
2/20/2018 0:00,12169
2/21/2018 0:00,3798
2/22/2018 0:00,12550
2/23/2018 0:00,3135
2/24/2018 0:00,4313
2/25/2018 0:00,12716
2/26/2018 0:00,31267
2/27/2018 0:00,31615
2/28/2018 0:00,12174
3/1/2018 0:00,2448
3/2/2018 0:00,14838
3/3/2018 0:00,32626
3/4/2018 0:00,32326
3/5/2018 0:00,23980
3/6/2018 0:00,29809
3/7/2018 0:00,15554
3/8/2018 0:00,6193
3/9/2018 0:00,12336
3/10/2018 0:00,33047
3/11/2018 0:00,29537
3/12/2018 0:00,22367
3/13/2018 0:00,19397
3/14/2018 0:00,12666
3/15/2018 0:00,33342
3/16/2018 0:00,34367
3/17/2018 0:00,10188
3/18/2018 0:00,33655
3/19/2018 0:00,30069
3/20/2018 0:00,6580
3/21/2018 0:00,585
3/22/2018 0:00,27440
3/23/2018 0:00,34567
3/24/2018 0:00,14888
3/25/2018 0:00,36242
3/26/2018 0:00,30565
3/27/2018 0:00,2640
3/28/2018 0:00,4184
3/29/2018 0:00,3211
3/30/2018 0:00,18141
3/31/2018 0:00,19188
4/1/2018 0:00,31695
4/2/2018 0:00,20404
4/3/2018 0:00,2983
4/4/2018 0:00,10084
4/5/2018 0:00,33658
4/6/2018 0:00,18728
4/7/2018 0:00,24104
4/8/2018 0:00,36510
4/9/2018 0:00,6477
4/10/2018 0:00,16431
4/11/2018 0:00,31174
4/12/2018 0:00,31891
4/13/2018 0:00,27668
4/14/2018 0:00,8624
4/15/2018 0:00,3908
4/16/2018 0:00,9213
4/17/2018 0:00,8233
4/18/2018 0:00,29461
4/19/2018 0:00,22605
4/20/2018 0:00,36491
4/21/2018 0:00,25915
4/22/2018 0:00,26770
4/23/2018 0:00,18657
4/24/2018 0:00,6188
4/25/2018 0:00,11102
4/26/2018 0:00,31208
4/27/2018 0:00,28832
4/28/2018 0:00,10107
4/29/2018 0:00,36494
4/30/2018 0:00,35823
5/1/2018 0:00,35015
5/2/2018 0:00,27654
5/3/2018 0:00,17728
5/4/2018 0:00,22428
5/5/2018 0:00,16409
5/6/2018 0:00,22969
5/7/2018 0:00,33021
5/8/2018 0:00,32532
5/9/2018 0:00,30679
5/10/2018 0:00,33546
5/11/2018 0:00,28199
5/12/2018 0:00,24118
5/13/2018 0:00,20827
5/14/2018 0:00,20112
5/15/2018 0:00,22335
5/16/2018 0:00,14429
5/17/2018 0:00,24123
5/18/2018 0:00,10649
5/19/2018 0:00,18923
5/20/2018 0:00,24426
5/21/2018 0:00,27152
5/22/2018 0:00,21089
5/23/2018 0:00,32915
5/24/2018 0:00,33409
5/25/2018 0:00,32794
5/26/2018 0:00,18266
5/27/2018 0:00,29024
5/28/2018 0:00,30673
5/29/2018 0:00,30287
5/30/2018 0:00,20442
5/31/2018 0:00,20961
6/1/2018 0:00,13372
6/2/2018 0:00,27464
6/3/2018 0:00,23994
6/4/2018 0:00,30253
6/5/2018 0:00,3259
6/6/2018 0:00,28933
6/7/2018 0:00,28625
6/8/2018 0:00,12164
6/9/2018 0:00,26442
6/10/2018 0:00,23359
6/11/2018 0:00,7325
6/12/2018 0:00,13738
6/13/2018 0:00,18226
6/14/2018 0:00,32932
6/15/2018 0:00,32001
6/16/2018 0:00,26867
6/17/2018 0:00,29043
6/18/2018 0:00,28321
6/19/2018 0:00,18333
6/20/2018 0:00,20275
6/21/2018 0:00,10563
6/22/2018 0:00,15781
6/23/2018 0:00,18044
6/24/2018 0:00,30610
6/25/2018 0:00,28129
6/26/2018 0:00,22422
6/27/2018 0:00,16247
6/28/2018 0:00,26080
6/29/2018 0:00,30363
6/30/2018 0:00,31326
7/1/2018 0:00,29977
7/2/2018 0:00,17818
7/3/2018 0:00,25464
7/4/2018 0:00,22310
7/5/2018 0:00,28555
7/6/2018 0:00,26116
7/7/2018 0:00,34213
7/8/2018 0:00,31703
7/9/2018 0:00,30684
7/10/2018 0:00,24040
